entity,fmeasure_rel,fmeasure_norel,ndcg,map_rel,map_norel
<http://dbpedia.org/resource/3WAY_FM>,0.2333333333333334,0.3000000000000001,0.6608397947263838,0.12777777777777777,0.10222222222222221
<http://dbpedia.org/resource/Adrian_Griffin>,0.03333333333333334,0.03333333333333334,0.0,0.011111111111111112,0.03333333333333333
<http://dbpedia.org/resource/Andrew_Kippis>,0.06666666666666668,0.06666666666666668,0.5087403079104241,0.013333333333333334,0.013333333333333334
<http://dbpedia.org/resource/Anthony_Beaumont-Dark>,0.06666666666666668,0.06666666666666668,0.36005461457723387,0.03333333333333333,0.022222222222222223
<http://dbpedia.org/resource/Dallas_Keuchel>,0.20000000000000004,0.20740740740740746,0.4852285551163225,0.061111111111111116,0.10555555555555556
<http://dbpedia.org/resource/E._K._Mawlong>,0.2333333333333334,0.2333333333333334,0.8687949224876581,0.05777777777777778,0.09166666666666667
<http://dbpedia.org/resource/Finn_Schiander>,0.06666666666666668,0.20000000000000004,0.4703652827859579,0.016666666666666666,0.09999999999999999
<http://dbpedia.org/resource/Hagar_Wilde>,0.06666666666666668,0.06666666666666668,0.30078518014914984,0.044444444444444446,0.041666666666666664
<http://dbpedia.org/resource/Ludwigsburg_University>,0.06666666666666668,0.06666666666666668,0.3391602052736161,0.016666666666666666,0.013333333333333334
<http://dbpedia.org/resource/Roderick_Carr>,0.03333333333333334,0.03333333333333334,0.30078518014914984,0.008333333333333333,0.006666666666666667
<http://dbpedia.org/resource/2009–10_Swiss_Cup>,0.20000000000000004,0.20000000000000004,0.6164336326286642,0.051666666666666666,0.13333333333333333
<http://dbpedia.org/resource/2011_Kor_Royal_Cup>,0.30000000000000004,0.30000000000000004,0.6164336326286642,0.2388888888888889,0.17
<http://dbpedia.org/resource/2011_League_of_Ireland_Cup_Final>,0.10000000000000002,0.10000000000000002,0.31564845247951445,0.10000000000000002,0.03333333333333333
<http://dbpedia.org/resource/2011_Sparta_Prague_Open>,0.10000000000000002,0.10000000000000002,0.8687949224876581,0.08333333333333333,0.05833333333333333
<http://dbpedia.org/resource/2012–13_UEFA_Champions_League>,0.43333333333333335,0.43333333333333335,0.6608397947263838,0.275,0.20222222222222222
<http://dbpedia.org/resource/Battle_of_Bregalnica>,0.03333333333333334,0.03333333333333334,0.30078518014914984,0.011111111111111112,0.006666666666666667
<http://dbpedia.org/resource/Battle_of_Rottofreddo>,0.10000000000000002,0.20000000000000004,0.3391602052736161,0.08333333333333333,0.07333333333333333
<http://dbpedia.org/resource/Burgery_ambush>,0.10000000000000002,0.10000000000000002,0.4852285551163225,0.04,0.07777777777777778
<http://dbpedia.org/resource/Massacre_on_34th_Street>,0.30000000000000004,0.30000000000000004,0.38356636737133554,0.1416666666666667,0.14666666666666664
<http://dbpedia.org/resource/Triathlon_at_the_2000_Summer_Olympics_–_Men's>,0.03333333333333334,0.03333333333333334,0.5147714448836773,0.016666666666666666,0.016666666666666666
<http://dbpedia.org/resource/Akalwadi>,0.20000000000000004,0.24074074074074073,0.8304198973631918,0.06111111111111111,0.07638888888888888
<http://dbpedia.org/resource/Chitita>,0.3333333333333334,0.37407407407407417,0.9999999999999999,0.23499999999999996,0.1441666666666667
<http://dbpedia.org/resource/Kuleh_Bayan>,0.1666666666666667,0.2703703703703704,0.7860137352654724,0.04000000000000001,0.11875000000000001
<http://dbpedia.org/resource/Phong_Thạnh_Tây>,0.2333333333333334,0.3000000000000001,0.49125969208957565,0.09444444444444444,0.3
<http://dbpedia.org/resource/Reamer_Barn>,0.3,0.3333333333333334,0.3391602052736161,0.23333333333333336,0.2588888888888889
<http://dbpedia.org/resource/Richmond–Petersburg_Turnpike>,0.2666666666666667,0.3000000000000001,0.9999999999999999,0.14111111111111113,0.1261111111111111
<http://dbpedia.org/resource/Uelsby>,0.1666666666666667,0.1666666666666667,0.4852285551163225,0.07777777777777777,0.043333333333333335
<http://dbpedia.org/resource/Wehlaberg>,0.5,0.5666666666666668,0.8304198973631918,0.2888888888888889,0.3327777777777778
<http://dbpedia.org/resource/Wernshausen>,0.26666666666666666,0.26666666666666666,0.7860137352654724,0.09444444444444446,0.17333333333333334
<http://dbpedia.org/resource/Yayoidai_Station>,0.2333333333333334,0.2333333333333334,0.8539316501572934,0.10722222222222222,0.11611111111111112
<http://dbpedia.org/resource/African_grey_hornbill>,0.23333333333333336,0.23333333333333336,0.5531464700081437,0.08277777777777777,0.10000000000000002
<http://dbpedia.org/resource/Bornean_mountain_ground_squirrel>,0.23333333333333336,0.23333333333333336,0.6608397947263838,0.13055555555555554,0.15277777777777776
<http://dbpedia.org/resource/Eastern_Sumatran_rhinoceros>,0.1666666666666667,0.2740740740740741,0.8304198973631918,0.07333333333333333,0.20833333333333337
<http://dbpedia.org/resource/Enallagma_truncatum>,0.3333333333333333,0.3666666666666667,0.9999999999999999,0.27,0.2544444444444444
<http://dbpedia.org/resource/Lepiota_helveola>,0.06666666666666668,0.06666666666666668,0.529634717214042,0.06666666666666667,0.06666666666666667
