entity,fmeasure_rel,fmeasure_norel,ndcg,map_rel,map_norel
<http://dbpedia.org/resource/Battle_of_Bregalnica>,0.13333333333333333,0.13333333333333333,0.3398414932237255,0.02349206349206349,0.032341269841269844
<http://dbpedia.org/resource/Battle_of_Rottofreddo>,0.38333333333333336,0.4359649122807017,0.8521705090845473,0.21180555555555555,0.28676146384479717
<http://dbpedia.org/resource/Burgery_ambush>,0.2833333333333334,0.2833333333333334,0.8611375561264455,0.15740079365079365,0.14866402116402114
<http://dbpedia.org/resource/Massacre_on_34th_Street>,0.4166666666666667,0.4166666666666667,0.914856882358379,0.26197089947089947,0.2748611111111111
<http://dbpedia.org/resource/Triathlon_at_the_2000_Summer_Olympics_–_Men's>,0.38333333333333336,0.38333333333333336,1.0,0.1827910052910053,0.24186507936507937
<http://dbpedia.org/resource/Akalwadi>,0.55,0.5657894736842105,1.0,0.3413227513227513,0.30477292768959435
<http://dbpedia.org/resource/Chitita>,0.6333333333333334,0.662280701754386,0.866947989864271,0.521137566137566,0.45380805408583186
<http://dbpedia.org/resource/Kuleh_Bayan>,0.4666666666666666,0.5043859649122807,1.0,0.2409920634920635,0.27878968253968256
<http://dbpedia.org/resource/Phong_Thạnh_Tây>,0.6,0.6394736842105263,1.0,0.4541798941798941,0.46460758377425043
<http://dbpedia.org/resource/Reamer_Barn>,0.44999999999999996,0.46666666666666673,1.0,0.28378306878306875,0.28558201058201055
<http://dbpedia.org/resource/Richmond–Petersburg_Turnpike>,0.4166666666666667,0.4333333333333334,0.9363792118010483,0.23244047619047617,0.2257010582010582
<http://dbpedia.org/resource/Uelsby>,0.2833333333333334,0.2833333333333334,0.8899541168509599,0.13234126984126984,0.13777777777777778
<http://dbpedia.org/resource/Wehlaberg>,0.65,0.6728070175438597,1.0,0.4357738095238095,0.46716784244562026
<http://dbpedia.org/resource/Wernshausen>,0.48333333333333334,0.48333333333333334,1.0,0.30040343915343914,0.3345238095238095
<http://dbpedia.org/resource/Yayoidai_Station>,0.3333333333333333,0.3333333333333333,1.0,0.15732142857142853,0.16752645502645502
<http://dbpedia.org/resource/African_grey_hornbill>,0.4000000000000001,0.43333333333333335,0.8899541168509599,0.16262566137566137,0.2516203703703704
<http://dbpedia.org/resource/Bornean_mountain_ground_squirrel>,0.4166666666666667,0.4166666666666667,1.0,0.2654232804232804,0.23495370370370372
<http://dbpedia.org/resource/Eastern_Sumatran_rhinoceros>,0.4000000000000001,0.41754385964912283,0.8205228949141826,0.22578042328042328,0.2560258671369782
<http://dbpedia.org/resource/Enallagma_truncatum>,0.5666666666666668,0.5833333333333334,1.0,0.40037698412698414,0.3786375661375661
<http://dbpedia.org/resource/Lepiota_helveola>,0.2833333333333333,0.2833333333333333,0.914856882358379,0.1912896825396825,0.1716269841269841
<http://dbpedia.org/resource/Lygodium_microphyllum>,0.13333333333333336,0.1405458089668616,0.0,0.02722222222222222,0.03539351851851852
<http://dbpedia.org/resource/Ovophis>,0.3333333333333333,0.3517543859649123,1.0,0.19499999999999998,0.18869708994708997
<http://dbpedia.org/resource/Rubus_arizonensis>,0.5499999999999999,0.5499999999999999,1.0,0.2906018518518519,0.329074074074074
<http://dbpedia.org/resource/Siamese_mud_carp>,0.45,0.4543859649122807,0.8611375561264455,0.2343518518518518,0.2831569664902998
<http://dbpedia.org/resource/Trachelipus_dimorphus>,0.5166666666666667,0.5166666666666667,0.9305687780632227,0.3667791005291005,0.30057539682539686
<http://dbpedia.org/resource/Foppt_den_Dämon!>,0.5833333333333334,0.6043859649122806,0.9363792118010483,0.4380753968253968,0.4009994121105232
<http://dbpedia.org/resource/Hey_Boy_(Teddybears_song)>,0.25000000000000006,0.25526315789473686,0.7136540102475308,0.10124999999999999,0.11423280423280423
<http://dbpedia.org/resource/King_of_the_Mountain_(film)>,0.3000000000000001,0.3000000000000001,0.9052116356304493,0.15959656084656082,0.16813492063492064
<http://dbpedia.org/resource/Our_Leading_Citizen_(1939_film)>,0.44999999999999996,0.44999999999999996,1.0,0.23476851851851852,0.24947089947089948
<http://dbpedia.org/resource/Simon_(2004_film)>,0.43333333333333335,0.43333333333333335,1.0,0.2540145502645503,0.20678571428571427
<http://dbpedia.org/resource/Sketchy_EP_1>,0.6,0.6552631578947369,1.0,0.41580026455026453,0.48392710170487946
<http://dbpedia.org/resource/Sky_(Faye_Wong_album)>,0.2166666666666667,0.2166666666666667,0.6311443278613471,0.09972222222222221,0.10896825396825398
<http://dbpedia.org/resource/Sting_Me>,0.2833333333333334,0.3735867446393762,0.7065443116025597,0.162037037037037,0.16075470311581422
<http://dbpedia.org/resource/The_Crowd_Snores>,0.43333333333333335,0.4578947368421053,0.9216017310213245,0.21896825396825395,0.22621546149323926
<http://dbpedia.org/resource/Touch_of_Death_(1961_film)>,0.5,0.5,1.0,0.23910714285714285,0.24874338624338624
<http://dbpedia.org/resource/Ashot_I_of_Iberia>,0.18333333333333335,0.20087719298245618,0.6117952373568122,0.07333333333333335,0.09900205761316871
<http://dbpedia.org/resource/Cindy_Mackey>,0.25000000000000006,0.25263157894736843,0.6812060741152737,0.09137566137566137,0.08544753086419754
<http://dbpedia.org/resource/Edmund_Smith_Conklin>,0.4000000000000001,0.4000000000000001,1.0,0.32392195767195764,0.2799867724867725
<http://dbpedia.org/resource/Fabrice_Gautrat>,0.11666666666666668,0.15087719298245614,0.8200685179888283,0.04722222222222222,0.04231481481481481
<http://dbpedia.org/resource/Hiroshi_Mori_(writer)>,0.3166666666666667,0.3166666666666667,0.40112489502598453,0.17652777777777776,0.09333994708994708
<http://dbpedia.org/resource/Momchil_Tsvetanov>,0.08333333333333336,0.08333333333333336,0.45484422125791807,0.016666666666666666,0.025925925925925925
<http://dbpedia.org/resource/Najmadin_Shukr_Rauf>,0.23333333333333336,0.2350877192982456,0.6378891765242928,0.06997354497354498,0.11481481481481481
<http://dbpedia.org/resource/Storme_Warren>,0.3666666666666667,0.45,0.8482378089219645,0.22854497354497352,0.2969179894179894
<http://dbpedia.org/resource/Svyatoslav_Tanasov>,0.39999999999999997,0.45263157894736844,0.8454256604216017,0.21818783068783068,0.21205026455026454
<http://dbpedia.org/resource/William_Anthony_Hughes>,0.23333333333333336,0.26666666666666666,0.933745776545611,0.10865079365079365,0.15194444444444444
<http://dbpedia.org/resource/1960_Glover_Trophy>,0.3166666666666667,0.4605263157894737,0.7799082337019198,0.12305555555555554,0.3488624338624338
<http://dbpedia.org/resource/1967_Italian_Grand_Prix>,0.2833333333333334,0.43333333333333335,0.9363792118010483,0.13166666666666668,0.26663359788359786
<http://dbpedia.org/resource/2008_Copa_América_–_FIFA_Futsal>,0.2833333333333334,0.2833333333333334,0.7948833326720566,0.11708994708994709,0.07320767195767196
<http://dbpedia.org/resource/2008_Copa_del_Rey_Final>,0.30000000000000004,0.3500000000000001,0.914856882358379,0.14132275132275132,0.17860449735449735
<http://dbpedia.org/resource/2010_Belgian_Super_Cup>,0.4000000000000001,0.4412280701754386,0.933745776545611,0.21921296296296297,0.188342151675485
<http://dbpedia.org/resource/2013_Slovak_Cup_Final>,0.4166666666666667,0.4166666666666667,1.0,0.29574074074074075,0.27296296296296296
<http://dbpedia.org/resource/Battle_of_Calicut_(1502)>,0.3166666666666667,0.3166666666666667,0.9266360779006398,0.1353373015873016,0.1235978835978836
<http://dbpedia.org/resource/Battle_of_Cepeda_(1820)>,0.5166666666666667,0.5166666666666667,0.8899541168509599,0.290760582010582,0.2852116402116402
<http://dbpedia.org/resource/Battle_on_the_Elster>,0.20000000000000004,0.20087719298245613,0.914856882358379,0.04809523809523809,0.09102292768959434
<http://dbpedia.org/resource/Operation_Hump>,0.3166666666666667,0.3500000000000001,0.45795769451312096,0.1216732804232804,0.27851851851851855
<http://dbpedia.org/resource/Darreh_Dang>,0.38333333333333336,0.3903508771929825,1.0,0.2901388888888889,0.25217886537330986
"<http://dbpedia.org/resource/Jalalia,_Khyber_Pakhtunkhwa>",0.46666666666666673,0.46666666666666673,0.9052116356304493,0.30898148148148147,0.24451058201058198
<http://dbpedia.org/resource/Kings_Ripton>,0.2666666666666667,0.2833333333333334,1.0,0.11022486772486771,0.1321164021164021
<http://dbpedia.org/resource/Kotumachagi>,0.35000000000000003,0.37192982456140355,0.9305687780632227,0.21587301587301588,0.1626543209876543
<http://dbpedia.org/resource/Muławki>,0.45,0.5236842105263158,0.8899541168509599,0.2957010582010582,0.4214550264550265
<http://dbpedia.org/resource/Pinnacle_Mountain_(South_Carolina)>,0.5666666666666667,0.5666666666666667,0.9216017310213245,0.30866402116402114,0.32671957671957674
"<http://dbpedia.org/resource/Saint-Raphaël,_Var>",0.15000000000000005,0.23333333333333336,0.3316936730892072,0.08452380952380951,0.08244047619047619
<http://dbpedia.org/resource/Sauxillanges>,0.48333333333333334,0.5087719298245613,0.9266360779006398,0.25515873015873014,0.3344378306878307
<http://dbpedia.org/resource/Stara_Bučka>,0.44999999999999996,0.4552631578947368,0.9363792118010483,0.2573677248677249,0.22221340388007052
<http://dbpedia.org/resource/Zarudcze>,0.5166666666666667,0.5885964912280701,1.0,0.26532407407407405,0.3837007642563199
<http://dbpedia.org/resource/Amphisbaena_ridleyi>,0.4333333333333333,0.4333333333333333,0.7846170207230129,0.2453174603174603,0.2654166666666667
<http://dbpedia.org/resource/Balanites>,0.39999999999999997,0.45,0.914856882358379,0.229537037037037,0.33617063492063487
<http://dbpedia.org/resource/Bryotropha_plantariella>,0.45,0.49210526315789466,1.0,0.23332671957671955,0.31579071134626685
<http://dbpedia.org/resource/Hilarographa_excellens>,0.4833333333333334,0.5166666666666667,1.0,0.2795238095238095,0.4157539682539682
<http://dbpedia.org/resource/Inverted_repeat-lacking_clade>,0.38333333333333336,0.38684210526315793,0.9266360779006398,0.24682539682539684,0.17222442680776015
<http://dbpedia.org/resource/Melaleuca_sheathiana>,0.4666666666666666,0.4666666666666666,0.8899541168509599,0.33289682539682536,0.23869047619047615
<http://dbpedia.org/resource/Pseudanos_trimaculatus>,0.43333333333333335,0.45,1.0,0.24310185185185182,0.2869312169312169
<http://dbpedia.org/resource/Stemonoporus_laevifolius>,0.4000000000000001,0.4000000000000001,0.9052116356304493,0.22757936507936508,0.19944444444444445
<http://dbpedia.org/resource/Thaia_saprophytica>,0.5333333333333333,0.5333333333333333,1.0,0.28609788359788363,0.3524470899470899
<http://dbpedia.org/resource/Trichoscypha_cavalliensis>,0.48333333333333334,0.48333333333333334,1.0,0.2126851851851852,0.23625
<http://dbpedia.org/resource/392_(album)>,0.5166666666666667,0.5166666666666667,0.7917063341896682,0.37694444444444447,0.35107142857142853
<http://dbpedia.org/resource/Drama_City>,0.3666666666666667,0.4543859649122807,0.8454256604216017,0.2499206349206349,0.23341563786008226
<http://dbpedia.org/resource/If_(Glasvegas_song)>,0.41666666666666674,0.43460038986354776,0.7104770117651424,0.2575396825396825,0.24452987213403876
<http://dbpedia.org/resource/Intensive_Care_Medicine_(journal)>,0.3166666666666667,0.3166666666666667,0.7799082337019198,0.11593915343915344,0.11619047619047618
<http://dbpedia.org/resource/It's_Still_Rock_and_Roll_to_Me>,0.25,0.3162768031189084,0.6410457898283652,0.09976851851851852,0.1745465902410347
<http://dbpedia.org/resource/Politiken>,0.3333333333333334,0.35000000000000003,0.7917063341896682,0.17824074074074073,0.1894179894179894
<http://dbpedia.org/resource/Rebel_Love_Song>,0.3333333333333334,0.349317738791423,0.6410457898283652,0.13097222222222224,0.18413249559082892
