Dataset,Top-K,F-Measure,NDCG,MAP
dbpedia,5,0.23,0.6794,0.2941
dbpedia,10,0.4312,0.8361,0.5008
faces,5,0.1921,0.6481,0.2412
faces,10,0.3743,0.844,0.5381
lmdb,5,0.2073,0.6342,0.2708
lmdb,10,0.3785,0.8404,0.4628
