Dataset,Top-K,IRES_Mean_FMeasure,ESLM_Mean_FMeasure,P-Value,Significant
dbpedia,5,0.1875,0.1645,0.03111719345461849,SIGNIFICANT
dbpedia,10,0.3913,0.3122,1.1180422130226781e-09,SIGNIFICANT
lmdb,5,0.1566,0.1607,0.9409275045142217,Not Sig.
lmdb,10,0.2592,0.2747,0.42299495876569215,Not Sig.
faces,5,0.3335,0.1251,7.551804758280675e-10,SIGNIFICANT
faces,10,0.5616,0.27,7.553512643873762e-10,SIGNIFICANT
