Dataset,Top-K,F-Measure,NDCG,MAP
dbpedia,5,0.1875,0.5334,0.1026
dbpedia,10,0.3913,0.8345,0.2209
lmdb,5,0.1566,0.286,0.0802
lmdb,10,0.2592,0.5668,0.1199
faces,5,0.3335,0.7482,0.1938
faces,10,0.5616,0.7641,0.3847
