entity,fmeasure_rel,fmeasure_norel,ndcg,map_rel,map_norel
<http://data.linkedmdb.org/resource/actor/30569>,0.06666666666666667,0.06666666666666667,0.933745776545611,0.0326984126984127,0.01853174603174603
<http://data.linkedmdb.org/resource/actor/30598>,0.08333333333333336,0.08333333333333336,0.6678262889110271,0.042751322751322755,0.01476851851851852
<http://data.linkedmdb.org/resource/actor/31707>,0.3666666666666667,0.37105263157894736,1.0,0.24177248677248675,0.22165049970605524
<http://data.linkedmdb.org/resource/actor/32500>,0.15000000000000002,0.15000000000000002,0.8415908474314976,0.11296296296296295,0.11388888888888889
<http://data.linkedmdb.org/resource/actor/32648>,0.35000000000000003,0.35000000000000003,0.9305687780632227,0.16300925925925927,0.18423941798941798
<http://data.linkedmdb.org/resource/actor/33137>,0.06666666666666668,0.06666666666666668,0.4105719800676483,0.016964285714285713,0.025925925925925925
<http://data.linkedmdb.org/resource/actor/34577>,0.4000000000000001,0.4000000000000001,1.0,0.1955026455026455,0.182744708994709
<http://data.linkedmdb.org/resource/actor/36141>,0.25000000000000006,0.25350877192982463,0.9266360779006398,0.15910714285714286,0.10952674897119341
<http://data.linkedmdb.org/resource/actor/38225>,0.18333333333333335,0.18333333333333335,0.914856882358379,0.06013888888888889,0.07702380952380954
<http://data.linkedmdb.org/resource/actor/38875>,0.1666666666666667,0.1666666666666667,0.4518648409659427,0.08148148148148147,0.04750000000000001
<http://data.linkedmdb.org/resource/actor/39725>,0.2833333333333334,0.2833333333333334,1.0,0.1560978835978836,0.12754629629629627
<http://data.linkedmdb.org/resource/director/416>,0.1166666666666667,0.1166666666666667,0.6352557412688554,0.05555555555555555,0.049206349206349205
<http://data.linkedmdb.org/resource/actor/43265>,0.15000000000000002,0.15000000000000002,0.35707647659639197,0.08333333333333333,0.043333333333333335
<http://data.linkedmdb.org/resource/actor/52869>,0.18333333333333335,0.18333333333333335,0.7162874455029681,0.041891534391534396,0.051547619047619044
<http://data.linkedmdb.org/resource/actor/62725>,0.35000000000000003,0.3535087719298246,0.7799082337019198,0.18305555555555553,0.1524625220458554
<http://data.linkedmdb.org/resource/actor/67878>,0.1666666666666667,0.1666666666666667,0.7123736502858729,0.04148148148148148,0.0748148148148148
<http://data.linkedmdb.org/resource/director/8669>,0.2666666666666667,0.2666666666666667,0.36602461869280256,0.10362433862433862,0.17534391534391536
<http://data.linkedmdb.org/resource/film/1338>,0.3166666666666667,0.37017543859649127,0.23992089480238074,0.11013888888888888,0.16603468547912992
<http://data.linkedmdb.org/resource/film/16986>,0.18333333333333338,0.18508771929824563,0.29659339675602536,0.10582010582010581,0.06097222222222221
<http://data.linkedmdb.org/resource/film/44555>,0.3333333333333333,0.3535087719298246,0.477967140362573,0.21351851851851852,0.12837595532039978
<http://data.linkedmdb.org/resource/film/49>,0.3666666666666667,0.40175438596491236,0.6410457898283652,0.22531084656084654,0.22270943562610235
<http://data.linkedmdb.org/resource/film/5089>,0.18333333333333335,0.18508771929824563,0.19930623359011795,0.043121693121693117,0.05146825396825396
<http://data.linkedmdb.org/resource/director/14418>,0.2666666666666667,0.2666666666666667,0.5430029249822633,0.10445767195767197,0.08951719576719576
<http://data.linkedmdb.org/resource/actor/30423>,0.3333333333333334,0.3333333333333334,0.727329844310522,0.14063492063492064,0.16402777777777777
<http://data.linkedmdb.org/resource/actor/47032>,0.13333333333333333,0.13333333333333333,0.7799082337019198,0.03425925925925926,0.05436507936507936
<http://data.linkedmdb.org/resource/actor/47469>,0.30000000000000004,0.30000000000000004,1.0,0.14854497354497354,0.12904761904761905
<http://data.linkedmdb.org/resource/director/8424>,0.35000000000000003,0.35000000000000003,0.1794771050858174,0.16873015873015873,0.17608465608465607
