,dataset_version,dataset_name,dataset_type,round,num_epochs,feature_type,fmeasure_rel,fmeasure_norel,ap,ap_norel,ndcg,Top,learning_rate,weight_decay,hidden_embedding,optimizer_type,encoder_type
0,esbm,faces,rdf,0,50,transe_nodes,0.22731329018510218,0.33349923810191984,0.11534858359270711,0.19384351489501192,0.7481658969994802,5,0.01,0.01,64,Adam,RGCN
1,esbm,faces,rdf,0,50,transe_nodes,0.4014707373605223,0.5616466705393964,0.22990264464015467,0.38474839697398877,0.7640909165981943,10,0.01,0.01,64,Adam,RGCN
