,dataset_version,dataset_name,dataset_type,round,num_epochs,feature_type,fmeasure_rel,fmeasure_norel,ap,ap_norel,Top,learning_rate,weight_decay,hidden_embedding,optimizer_type,encoder_type
0,esbm,lmdb,rdf,0,50,transe_nodes,0.3566666666666667,0.3804444444444444,0.23126666666666665,0.24310277777777775,5,0.01,0.01,64,Adam,RGCN
1,esbm,lmdb,rdf,0,50,transe_nodes,0.4043333333333334,0.4375497076023392,0.23267923280423283,0.2728380070546737,10,0.01,0.01,64,Adam,RGCN
