entity,fmeasure_rel,fmeasure_norel,ndcg,map_rel,map_norel
<http://dbpedia.org/resource/3WAY_FM>,0.1666666666666667,0.1666666666666667,0.529634717214042,0.08333333333333333,0.05555555555555555
<http://dbpedia.org/resource/Adrian_Griffin>,0.03333333333333334,0.13333333333333336,0.5531464700081437,0.016666666666666666,0.044444444444444446
<http://dbpedia.org/resource/Andrew_Kippis>,0.06666666666666668,0.06666666666666668,0.0,0.013333333333333334,0.013333333333333334
<http://dbpedia.org/resource/Anthony_Beaumont-Dark>,0.1666666666666667,0.1666666666666667,0.3391602052736161,0.07555555555555556,0.10833333333333335
<http://dbpedia.org/resource/Dallas_Keuchel>,0.13333333333333336,0.17407407407407408,0.6164336326286642,0.044444444444444446,0.18333333333333335
<http://dbpedia.org/resource/E._K._Mawlong>,0.20000000000000004,0.20000000000000004,0.639945385422766,0.19999999999999998,0.04
<http://dbpedia.org/resource/Finn_Schiander>,0.06666666666666668,0.20000000000000004,0.529634717214042,0.013333333333333334,0.15833333333333333
<http://dbpedia.org/resource/Hagar_Wilde>,0.06666666666666668,0.06666666666666668,0.38356636737133554,0.022222222222222223,0.013333333333333334
<http://dbpedia.org/resource/Ludwigsburg_University>,0.10000000000000002,0.10000000000000002,0.6548086577531306,0.05000000000000001,0.05000000000000001
<http://dbpedia.org/resource/Roderick_Carr>,0.03333333333333334,0.03333333333333334,0.13120507751234178,0.011111111111111112,0.016666666666666666
<http://dbpedia.org/resource/2009–10_Swiss_Cup>,0.1666666666666667,0.1666666666666667,0.8304198973631918,0.125,0.12
<http://dbpedia.org/resource/2011_Kor_Royal_Cup>,0.06666666666666668,0.06666666666666668,0.7227265726449517,0.027777777777777776,0.024444444444444446
<http://dbpedia.org/resource/2011_League_of_Ireland_Cup_Final>,0.23333333333333336,0.23703703703703707,0.2139862647345275,0.20000000000000004,0.17500000000000002
<http://dbpedia.org/resource/2011_Sparta_Prague_Open>,0.1666666666666667,0.1666666666666667,0.5147714448836773,0.08333333333333333,0.16666666666666666
<http://dbpedia.org/resource/2012–13_UEFA_Champions_League>,0.30000000000000004,0.30000000000000004,0.38356636737133554,0.19666666666666668,0.1361111111111111
<http://dbpedia.org/resource/Battle_of_Bregalnica>,0.0,0.0,0.2139862647345275,0.0,0.0
<http://dbpedia.org/resource/Battle_of_Rottofreddo>,0.03333333333333334,0.13333333333333336,0.6164336326286642,0.016666666666666666,0.03333333333333333
<http://dbpedia.org/resource/Burgery_ambush>,0.2666666666666667,0.2666666666666667,0.44685352999185624,0.16333333333333333,0.15833333333333335
<http://dbpedia.org/resource/Massacre_on_34th_Street>,0.1666666666666667,0.20000000000000004,0.16958010263680806,0.06777777777777778,0.12777777777777777
<http://dbpedia.org/resource/Triathlon_at_the_2000_Summer_Olympics_–_Men's>,0.3333333333333334,0.3333333333333334,0.49125969208957565,0.16166666666666665,0.12444444444444443
<http://dbpedia.org/resource/Akalwadi>,0.2666666666666667,0.2703703703703704,0.8687949224876581,0.22,0.0952777777777778
<http://dbpedia.org/resource/Chitita>,0.43333333333333335,0.43333333333333335,0.639945385422766,0.26944444444444443,0.32
<http://dbpedia.org/resource/Kuleh_Bayan>,0.06666666666666668,0.1703703703703704,0.7860137352654724,0.023333333333333334,0.03944444444444445
<http://dbpedia.org/resource/Phong_Thạnh_Tây>,0.03333333333333334,0.03333333333333334,0.34519134224686926,0.03333333333333333,0.006666666666666667
<http://dbpedia.org/resource/Reamer_Barn>,0.06666666666666668,0.10000000000000002,0.44685352999185624,0.03333333333333333,0.025000000000000005
