,dataset_version,round,Top,fmeasure_rel,ap,ap_norel
0,esbm,0,5,0.6455555555555555,0.5767166666666667,0.7064531850903805
1,esbm,0,10,0.7527708978328174,0.7115667422524565,0.8190528718105514
