,dataset_version,dataset_name,dataset_type,round,num_epochs,feature_type,fmeasure_rel,fmeasure_norel,ap,ap_norel,Top,learning_rate,weight_decay,hidden_embedding,optimizer_type,encoder_type
0,esbm,dbpedia,rdf,0,50,transe_nodes,0.30640000000000006,0.32257777777777785,0.19722666666666666,0.20063666666666666,5,0.01,0.01,64,Adam,RGCN
1,esbm,dbpedia,rdf,0,50,transe_nodes,0.5151999999999999,0.5384896686159845,0.3456337037037037,0.3692157466196354,10,0.01,0.01,64,Adam,RGCN
