Dataset,K,F1,MAP,NDCG,Matched_Entities
WIKIES,5,0.14397764803475305,0.0873349109758846,0.36814872014558503,493
WIKIES,10,0.14397764803475305,0.06211970228704509,0.3215531706651346,493
DBpedia,5,0.3770650749057716,0.9038666666666666,0.9327400678680926,125
DBpedia,10,0.3770650749057716,0.4519333333333333,0.9288018985565258,125
LMDB,5,0.39243175401589336,0.7289115646258504,0.8464994929347955,49
LMDB,10,0.39243175401589336,0.3689909297052154,0.8401743451320793,49
FACES,5,0.33903417260492036,0.8759999999999999,0.9602039236455611,50
FACES,10,0.33903417260492036,0.43799999999999994,0.9557904973848337,50
